formula,target
Se4Tb2,0.32
Ba2Co4N4,0.35
Be5Zr,0.16
Cr4Sb4Se12,0.25
CuSb3Zr2,0.29
O16Ti8,0.32
La2O3,0.35
C2In2Nb4,0.25
Bi4K2,0.46
H6Li2Mg2,0.18
Ag2Er,0.33
BiCuMg,0.31
AlCo2Ta,0.29
Cl2Eu2O2,0.31
Mn2P2Sr,0.25
As4Mn4,0.16
C4Co2Sc2,0.28
CdCsN3O6,0.31
I2O2Y2,0.26
As16Mg4,0.26
NiP2S6,0.24
Ge3Li3Pr3,0.15
AuHo2Os,0.33
Ru2SiV,0.3
Ru2TaY,0.34
IrRhY2,0.33
AgScZn2,0.31
Os2TaTi,0.33
AuCd2Li,0.41
AgLa2Sn,0.62
N2Sr2Zn,0.27
BaMg2Sb2,0.23
CZn3,0.59
MoZn6,0.21
MoV3,0.4
Ag2ErY,0.31
P3Sm,2.6
